Posting Date,Job Title,Division,Job Type,Job Location,Job URL
13-Jul-2015,"Coordinator, Elections",City Clerk's Office,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2144665&page=search&external=
13-Jul-2015,Senior Planner Urban Design,City Planning,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2143563&page=search&external=
10-Jul-2015,Manager Financial Services,Long-Term Care Homes & Services,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2146578&page=search&external=
10-Jul-2015,"Project Lead, Traffic Management Centre",Transportation Services,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2141514&page=search&external=
10-Jul-2015,"Supervisor, Parks","Parks, Forestry & Recreation","Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2117891&page=search&external=
10-Jul-2015,Support Assistant C,Toronto Court Services,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2134739&page=search&external=
09-Jul-2015,Chief Chemist,Toronto Water,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2146597&page=search&external=
09-Jul-2015,Health Information Analyst,Public Health,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2140753&page=search&external=
09-Jul-2015,Senior Budget & Operations Analyst,"Policy, Planning, Finance & Admin","Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2145632&page=search&external=
09-Jul-2015,Senior Systems Integrator IT (Business Architect),Information & Technology,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2146290&page=search&external=
08-Jul-2015,"Business Analyst, Facilities",Office of the Chief Corporate Office,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2142576&page=search&external=
08-Jul-2015,Engineer,Engineering & Construction Services,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2145017&page=search&external=
08-Jul-2015,Engineer,Engineering & Construction Services,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2145505&page=search&external=
08-Jul-2015,Engineering Technologist Technician 1,Transportation Services,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2142106&page=search&external=
08-Jul-2015,"Manager, Strategic Initiatives, Policy & Analysis (SIPA)",City Planning,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2141509&page=search&external=
08-Jul-2015,Planner Transportation - AMENDMENT,City Planning,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2142107&page=search&external=
08-Jul-2015,Support Assistant B,Toronto Court Services,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2145662&page=search&external=
07-Jul-2015,Designer 3 (Web/Multimedia Designer),Information & Technology,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2144688&page=search&external=
06-Jul-2015,Stationary Engineer Operator,Toronto Water,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2143729&page=search&external=
06-Jul-2015,"Trainer, Community Recreation Facilities","Parks, Forestry & Recreation","Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2144101&page=search&external=
06-Jul-2015,eCity Management Consultant (Strategic Planning),Information & Technology,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2145111&page=search&external=
03-Jul-2015,Human Resources Program Assistant,Human Resources,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2141769&page=search&external=
03-Jul-2015,Support Assistant A - AMENDMENT,"Shelter, Support & Housing Admin","Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2143788&page=search&external=
02-Jul-2015,Director Engineering Support Services,Engineering & Construction Services,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2141603&page=search&external=
30-Jun-2015,Materials Management Assistant 2,City Clerk's Office,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2140542&page=search&external=
29-Jun-2015,Automotive Mechanic 2,Fleet Services,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2127516&page=search&external=
29-Jun-2015,Engineer,Toronto Water,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2143023&page=search&external=
29-Jun-2015,Operations Support Analyst 3 (Computer Operator),Information & Technology,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2140744&page=search&external=
29-Jun-2015,Plumber,Toronto Water,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2132820&page=search&external=
26-Jun-2015,Reproduction Copier Operator,City Clerk's Office,"Permanent, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2141474&page=search&external=
26-Jun-2015,Senior Systems Integrator PF&R,"Parks, Forestry & Recreation","Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2131950&page=search&external=
25-Jun-2015,System Development Specialist (OpenEdge Developer),Information & Technology,"Temporary, Full-Time",Canada-Ontario-Toronto,https://www.brainhunter.com/frontoffice/seekerViewJobDetailAction.do?sitecode=pl389&jobId=2142927&page=search&external=
